name_en,category,states_name_en,region_en
Historic Centres of Berat and Gjirokastra ,Cultural,Albania,Europe and North America
Butrint,Cultural,Albania,Europe and North America
Madriu-Perafita-Claror Valley,Cultural,Andorra,Europe and North America
Monasteries of Haghpat and Sanahin,Cultural,Armenia,Europe and North America
Monastery of Geghard and the Upper Azat Valley,Cultural,Armenia,Europe and North America
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cultural,Armenia,Europe and North America
Historic Centre of the City of Salzburg,Cultural,Austria,Europe and North America
Semmering Railway,Cultural,Austria,Europe and North America
Palace and Gardens of Schönbrunn,Cultural,Austria,Europe and North America
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Cultural,Austria,Europe and North America
City of Graz – Historic Centre and Schloss Eggenberg,Cultural,Austria,Europe and North America
Wachau Cultural Landscape,Cultural,Austria,Europe and North America
Historic Centre of Vienna,Cultural,Austria,Europe and North America
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Cultural,Azerbaijan,Europe and North America
Gobustan Rock Art Cultural Landscape,Cultural,Azerbaijan,Europe and North America
Historic Centre of Sheki with the Khan’s Palace,Cultural,Azerbaijan,Europe and North America
Mir Castle Complex,Cultural,Belarus,Europe and North America
Architectural++ Residential and Cultural Complex of the Radziwill Family at Nesvizh,Cultural,Belarus,Europe and North America
Flemish Béguinages,Cultural,Belgium,Europe and North America
The Four Lifts on the Canal du Centre and their Environs++ La Louvière and Le Roeulx (Hainaut),Cultural,Belgium,Europe and North America
La Grand-Place++ Brussels,Cultural,Belgium,Europe and North America
Historic Centre of Brugge,Cultural,Belgium,Europe and North America
Major Town Houses of the Architect Victor Horta (Brussels),Cultural,Belgium,Europe and North America
Neolithic Flint Mines at Spiennes (Mons),Cultural,Belgium,Europe and North America
Notre-Dame Cathedral in Tournai,Cultural,Belgium,Europe and North America
Plantin-Moretus House-Workshops-Museum Complex,Cultural,Belgium,Europe and North America
Stoclet House,Cultural,Belgium,Europe and North America
Major Mining Sites of Wallonia,Cultural,Belgium,Europe and North America
Old Bridge Area of the Old City of Mostar,Cultural,Bosnia and Herzegovina,Europe and North America
Mehmed Paša Sokolović Bridge in Višegrad,Cultural,Bosnia and Herzegovina,Europe and North America
Boyana Church,Cultural,Bulgaria,Europe and North America
Madara Rider,Cultural,Bulgaria,Europe and North America
Thracian Tomb of Kazanlak,Cultural,Bulgaria,Europe and North America
Rock-Hewn Churches of Ivanovo,Cultural,Bulgaria,Europe and North America
Rila Monastery,Cultural,Bulgaria,Europe and North America
Ancient City of Nessebar,Cultural,Bulgaria,Europe and North America
Srebarna Nature Reserve,Natural,Bulgaria,Europe and North America
Pirin National Park,Natural,Bulgaria,Europe and North America
